,selling_price,home_age,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors
1,487000,10,4,2.5,2540,5001,0,2
2,465000,10,3,2.25,1530,1245,480,2
3,411000,18,2,2,1130,1148,330,2
4,635000,4,3,2.5,3350,4007,800,2
5,380000,24,5,2.5,2130,8428,0,2
6,495000,21,3,3.5,1650,1577,550,2
7,355000,19,3,2.25,1430,4777,0,2
8,464950,19,3,2,2190,19800,0,1
9,425000,11,4,2.5,1920,9000,0,2
10,535000,3,4,2.75,2360,15100,0,1
11,356000,24,2,1,1430,365904,420,1
12,495000,3,4,2.5,2140,7245,0,2
13,525000,16,3,2.75,2100,10362,590,2
14,559900,20,3,2.75,2930,5569,1070,1
15,552321,29,3,2.5,1960,8469,0,2
16,475000,0,5,2.5,2300,28480,0,2
17,485000,6,3,2.25,2440,47916,350,2
18,381000,25,3,2,1680,8946,740,1
19,525000,28,5,3,2450,4591,0,2
20,540000,22,3,2.5,2220,5279,0,2
21,450000,25,3,2.5,1990,12866,0,2
22,624000,26,5,3.75,3570,14648,0,2
23,452000,27,3,2.5,1530,5032,0,2
24,398000,14,3,1.5,1310,2996,0,2
25,389999,24,3,2.25,1445,1471,145,2
26,387000,15,3,2.25,1445,1606,145,2
27,4.00E+05,9,3,2.5,1600,2388,0,2
28,355000,37,3,2.25,1410,1332,120,2
29,391000,30,3,2.25,1410,1290,120,2
30,384500,26,3,2.5,1600,2610,0,2
31,379500,7,3,2.25,1410,1287,120,2
32,377500,21,3,2.25,1410,1377,120,2
33,375000,33,3,2.5,1600,2042,0,2
34,533500,17,3,3.5,2490,3517,770,2
35,550000,9,3,3.5,2490,3582,770,2
36,366000,19,3,2.25,1445,1028,145,2
37,355000,26,3,2.25,1445,1087,145,2
38,415000,24,3,2.25,1445,1512,145,2
39,590000,11,4,2.5,2940,29013,0,2
40,456500,20,4,2.5,2400,6811,0,2
41,355000,22,4,2.5,1780,15000,0,2
42,362500,20,3,2,1940,40588,0,1
43,520000,29,3,1.75,1940,219527,0,1
44,535000,17,5,2.5,3190,6178,0,2
45,592000,31,3,2.5,2400,81892,0,2
46,410000,25,4,2.5,1900,15123,0,2
47,429000,13,3,2.5,1920,15124,0,2
48,470000,2,4,2.5,2470,8536,0,2
49,515000,5,3,2.5,2130,219978,0,2
50,599000,18,4,2.5,2790,230868,0,2
51,566000,8,3,2.5,2090,6294,0,2
52,408000,23,3,2,1640,3440,0,2
53,369950,32,3,2.5,1360,3718,0,2
54,395000,24,3,2.5,1610,3755,0,2
55,419500,27,3,2.5,1360,3188,0,2
56,365000,19,3,2,2030,8649,0,1
57,392500,25,4,2.5,2150,7303,0,2
58,440000,30,4,2.5,2230,5650,0,2
59,373000,29,3,2,1400,2445,560,1
60,542950,12,3,2.5,2070,39768,0,2
61,510000,22,3,2.5,2540,40106,0,2
62,630000,24,2,2.25,2550,5663,830,1
63,599000,16,5,2.5,2950,72309,0,2
64,550000,2,3,2.5,2720,62310,680,1
65,513000,5,3,2.5,2150,161607,820,2
66,450000,19,3,2.5,1639,2710,160,2
67,365000,27,2,1.5,820,1270,0,2
68,378000,26,2,1.5,980,853,160,2
69,370000,24,2,1,780,1133,0,2
70,362500,33,2,1.5,940,1768,0,2
71,363000,16,2,2,920,1201,120,2
72,359000,38,3,3,1320,1071,240,2
73,450000,35,2,3,1790,1709,390,2
74,449000,23,2,2.5,1460,1296,300,2
75,403000,31,2,1.5,1240,1101,160,2
76,462500,21,6,3,2390,4000,0,2
77,429000,23,3,2,1700,52826,0,1
78,365000,32,2,2,1440,15000,0,1
79,535000,12,4,2.5,2280,65836,0,2
80,575000,11,4,2.5,2550,56628,0,2
81,433200,22,3,2.5,2075,16200,0,2
82,465000,16,3,2,1840,40438,0,2
83,515000,30,5,3,2530,5105,1010,1
84,402500,22,3,1.75,1480,2211,0,2
85,415000,27,3,1.75,1480,2200,0,2
86,389000,25,4,2.25,2130,5337,0,2
87,415000,12,4,2.5,2230,5743,0,2
88,414000,23,4,2.5,2120,6497,0,2
89,453250,43,4,2.5,2260,6300,0,2
90,523000,3,4,2.5,2660,65340,0,2
91,515000,23,4,2.5,2670,8765,0,2
92,6.00E+05,10,4,2.75,3110,11225,0,2
93,579000,25,4,2.75,3220,9825,0,2
94,350000,29,3,2.5,1630,3425,0,2
95,645000,21,3,2.25,3280,79279,0,1
96,350000,22,3,2,1680,81893,0,1
97,407000,30,2,2.5,1340,999,400,2
98,589500,25,3,3.25,2310,3075,580,2
99,399500,33,2,1.5,1180,1722,0,2
100,380000,15,3,2.5,1260,900,320,2
101,390000,28,3,2.5,1310,1254,460,2
102,370000,25,3,2.5,1070,1219,350,2
103,393500,37,3,1.75,1230,1441,220,2
104,401750,29,2,1.5,1070,1236,70,2
105,505000,15,4,2.5,2790,5602,0,2
106,527000,1,4,2.5,2900,6736,0,2
107,350000,31,3,1.75,1250,13775,0,1
108,458000,8,3,4,1390,1569,240,2
109,619000,6,3,2.5,2560,43608,0,2
110,630000,19,3,2.5,2460,38794,0,2
111,402000,24,3,1.5,1320,3145,0,2
112,495000,18,3,2.5,1860,3150,0,2
113,499950,3,3,2.5,2370,12753,0,2
114,627000,3,4,2.5,2750,11830,0,2
115,447055,27,4,2.5,2448,4949,0,2
116,491000,27,5,3.5,2815,4900,0,2
117,368500,24,5,2.75,2530,7601,1010,1
118,540500,25,3,2,2800,185130,480,1
119,360000,29,4,2.5,1840,9611,0,2
120,518000,36,4,2.5,2790,9910,0,2
121,551500,8,4,2.5,2950,10003,0,2
122,614905,26,3,2.5,2410,7225,0,2
123,580000,17,3,2.5,2180,40278,0,2
124,437000,25,3,2.5,1750,22357,0,2
125,353000,15,4,2.75,1920,4627,910,1
126,4.00E+05,32,2,2.5,1170,1811,0,2
