,still_customer,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
1,no,38,F,2,High School,Married,Less than $40K,Blue,27,4,1,2,1830,0,1830,0.736,1741,43,0.654,0
2,no,55,F,4,Graduate,Single,Less than $40K,Blue,44,1,2,1,2638,1423,1215,0.551,4153,77,0.925,0.539
3,yes,36,F,1,Unknown,Single,Less than $40K,Blue,24,2,1,2,1735,0,1735,0.74,2467,35,0.346,0
4,yes,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516,2517,31999,0.735,7155,66,0.65,0.073
5,no,36,F,1,Doctorate,Single,Less than $40K,Blue,25,1,2,3,2835,2511,324,0.731,4811,77,0.925,0.886
6,no,44,M,0,High School,Single,$40K - $60K,Blue,33,5,1,3,2337,1442,895,0.659,3945,65,0.548,0.617
7,yes,60,F,2,High School,Single,Less than $40K,Blue,54,1,6,2,8141,1811,6330,1.043,5043,53,0.432,0.222
8,no,37,F,3,High School,Married,Less than $40K,Blue,19,5,1,3,4138,0,4138,1.168,2420,50,0.613,0
9,no,55,F,1,Unknown,Married,$40K - $60K,Blue,43,2,1,2,3391,1696,1695,0.537,4291,77,0.711,0.5
10,no,60,M,1,High School,Married,Less than $40K,Blue,55,5,1,4,2661,1466,1195,0.631,1354,25,0.316,0.551
11,no,39,M,4,Post-Graduate,Single,$80K - $120K,Blue,32,5,3,2,26710,1681,25029,0.741,14043,117,0.746,0.063
12,no,57,F,1,Graduate,Married,Less than $40K,Blue,45,1,3,2,1894,0,1894,0.731,5750,73,0.872,0
13,no,50,M,2,Graduate,Married,$80K - $120K,Blue,37,3,1,3,3126,0,3126,0.824,1388,41,0.464,0
14,no,38,M,3,College,Single,$120K +,Blue,26,2,2,1,14938,0,14938,0.626,7385,90,0.429,0
15,no,42,F,2,Graduate,Married,Unknown,Blue,33,6,1,1,13770,2517,11253,0.788,1582,36,0.385,0.183
