,HitPoints,Attack,Defense,SpecialAttack,SpecialDefense,Speed
1,45,49,49,65,65,45
2,60,62,63,80,80,60
3,80,82,83,100,100,80
4,80,100,123,122,120,80
5,39,52,43,60,50,65
6,58,64,58,80,65,80
7,78,84,78,109,85,100
8,78,130,111,130,85,100
9,78,104,78,159,115,100
10,44,48,65,50,64,43
11,59,63,80,65,80,58
12,79,83,100,85,105,78
13,79,103,120,135,115,78
14,45,30,35,20,20,45
15,50,20,55,25,25,30
16,60,45,50,90,80,70
17,40,35,30,20,20,50
18,45,25,50,25,25,35
19,65,90,40,45,80,75
20,65,150,40,15,80,145
21,40,45,40,35,35,56
22,63,60,55,50,50,71
23,83,80,75,70,70,101
24,83,80,80,135,80,121
25,30,56,35,25,35,72
26,55,81,60,50,70,97
27,40,60,30,31,31,70
28,65,90,65,61,61,100
29,35,60,44,40,54,55
30,60,85,69,65,79,80
31,35,55,40,50,50,90
32,60,90,55,90,80,110
33,50,75,85,20,30,40
34,75,100,110,45,55,65
35,55,47,52,40,40,41
36,70,62,67,55,55,56
37,90,92,87,75,85,76
38,46,57,40,40,40,50
39,61,72,57,55,55,65
40,81,102,77,85,75,85
41,70,45,48,60,65,35
42,95,70,73,95,90,60
43,38,41,40,50,65,65
44,73,76,75,81,100,100
45,115,45,20,45,25,20
46,140,70,45,85,50,45
47,40,45,35,30,40,55
48,75,80,70,65,75,90
49,45,50,55,75,65,30
50,60,65,70,85,75,40
51,75,80,85,110,90,50
52,35,70,55,45,55,25
53,60,95,80,60,80,30
54,60,55,50,40,55,45
55,70,65,60,90,75,90
56,10,55,25,35,45,95
57,35,80,50,50,70,120
58,40,45,35,40,40,90
59,65,70,60,65,65,115
60,50,52,48,65,50,55
61,80,82,78,95,80,85
62,40,80,35,35,45,70
63,65,105,60,60,70,95
64,55,70,45,70,50,60
65,90,110,80,100,80,95
66,40,50,40,40,40,90
67,65,65,65,50,50,90
68,90,95,95,70,90,70
69,25,20,15,105,55,90
70,40,35,30,120,70,105
71,55,50,45,135,95,120
72,55,50,65,175,95,150
73,70,80,50,35,35,35
74,80,100,70,50,60,45
75,90,130,80,65,85,55
76,50,75,35,70,30,40
77,65,90,50,85,45,55
78,80,105,65,100,70,70
79,40,40,35,50,100,70
80,80,70,65,80,120,100
81,40,80,100,30,30,20
82,55,95,115,45,45,35
83,80,120,130,55,65,45
84,50,85,55,65,65,90
85,65,100,70,80,80,105
86,90,65,65,40,40,15
87,95,75,110,100,80,30
88,95,75,180,130,80,30
89,25,35,70,95,55,45
90,50,60,95,120,70,70
91,52,65,55,58,62,60
92,35,85,45,35,35,75
93,60,110,70,60,60,100
94,65,45,55,45,70,45
95,90,70,80,70,95,70
96,80,80,50,40,50,25
97,105,105,75,65,100,50
98,30,65,100,45,25,40
99,50,95,180,85,45,70
100,30,35,30,100,35,80
101,45,50,45,115,55,95
102,60,65,60,130,75,110
103,60,65,80,170,95,130
104,35,45,160,30,45,70
105,60,48,45,43,90,42
106,85,73,70,73,115,67
107,30,105,90,25,25,50
108,55,130,115,50,50,75
109,40,30,50,55,55,100
110,60,50,70,80,80,140
111,60,40,80,60,45,40
112,95,95,85,125,65,55
113,50,50,95,40,50,35
114,60,80,110,50,80,45
115,50,120,53,35,110,87
116,50,105,79,35,110,76
117,90,55,75,60,75,30
118,40,65,95,60,45,35
119,65,90,120,85,70,60
120,80,85,95,30,30,25
121,105,130,120,45,45,40
122,250,5,5,35,105,50
123,65,55,115,100,40,60
124,105,95,80,40,80,90
125,105,125,100,60,100,100
126,30,40,70,70,25,60
127,55,65,95,95,45,85
128,45,67,60,35,50,63
129,80,92,65,65,80,68
130,30,45,55,70,55,85
131,60,75,85,100,85,115
132,40,45,65,100,120,90
133,70,110,80,55,80,105
134,65,50,35,115,95,95
135,65,83,57,95,85,105
136,65,95,57,100,85,93
137,65,125,100,55,70,85
138,65,155,120,65,90,105
139,75,100,95,40,70,110
140,20,10,55,15,20,80
141,95,125,79,60,100,81
142,95,155,109,70,130,81
143,130,85,80,85,95,60
144,48,48,48,48,48,48
145,55,55,50,45,65,55
146,130,65,60,110,95,65
147,65,65,60,110,95,130
148,65,130,60,95,110,65
149,65,60,70,85,75,40
150,35,40,100,90,55,35
151,70,60,125,115,70,55
152,30,80,90,55,45,55
153,60,115,105,65,70,80
154,80,105,65,60,75,130
155,80,135,85,70,95,150
156,160,110,65,65,110,30
157,90,85,100,95,125,85
158,90,90,85,125,90,100
159,90,100,90,125,85,90
160,41,64,45,50,50,50
161,61,84,65,70,70,70
162,91,134,95,100,100,80
163,106,110,90,154,90,130
164,106,190,100,154,100,130
165,106,150,70,194,120,140
166,100,100,100,100,100,100
167,45,49,65,49,65,45
168,60,62,80,63,80,60
169,80,82,100,83,100,80
170,39,52,43,60,50,65
171,58,64,58,80,65,80
172,78,84,78,109,85,100
173,50,65,64,44,48,43
174,65,80,80,59,63,58
175,85,105,100,79,83,78
176,35,46,34,35,45,20
177,85,76,64,45,55,90
178,60,30,30,36,56,50
179,100,50,50,76,96,70
180,40,20,30,40,80,55
181,55,35,50,55,110,85
