country,year,hourly_compensation
Australia,1980,8.43999958
Austria,1980,8.869999886
Belgium,1980,11.73999977
Canada,1980,8.869999886
Denmark,1980,10.82999992
Finland,1980,8.609999657
France,1980,8.899999619
Greece,1980,3.720000029
"Hong Kong, China",1980,1.5
Ireland,1980,6.440000057
Israel,1980,3.410000086
Italy,1980,8.090000153
Japan,1980,5.460000038
"Korea, Rep.",1980,0.949999988
Luxembourg,1980,11.47999954
Mexico,1980,2.200000048
Netherlands,1980,12.05000019
New Zealand,1980,5.440000057
Norway,1980,11.80000019
Portugal,1980,1.99000001
Singapore,1980,1.539999962
Spain,1980,5.860000134
Sri Lanka,1980,0.219999999
Sweden,1980,12.39999962
Switzerland,1980,10.96000004
Taiwan,1980,1.029999971
United Kingdom,1980,7.519999981
United States,1980,9.630000114
Australia,1981,9.760000229
Austria,1981,7.769999981
Belgium,1981,10.27999973
Canada,1981,9.789999962
Denmark,1981,9.359999657
Finland,1981,8.329999924
France,1981,7.980000019
Greece,1981,3.650000095
"Hong Kong, China",1981,1.549999952
Ireland,1981,5.96999979
Israel,1981,3.75
Italy,1981,7.519999981
Japan,1981,6.019999981
"Korea, Rep.",1981,1.00999999
Luxembourg,1981,9.420000076
Mexico,1981,2.809999943
Netherlands,1981,9.890000343
New Zealand,1981,5.809999943
Norway,1981,11.21000004
Portugal,1981,1.970000029
Singapore,1981,1.860000014
Spain,1981,5.519999981
Sri Lanka,1981,0.209999993
Sweden,1981,11.69999981
Switzerland,1981,10.01000023
Taiwan,1981,1.220000029
United Kingdom,1981,7.269999981
United States,1981,10.61999989
Australia,1982,9.93999958
Austria,1982,7.760000229
Belgium,1982,8.930000305
Canada,1982,10.69999981
Denmark,1982,8.840000153
Finland,1982,8.260000229
France,1982,7.739999771
Greece,1982,4.099999905
"Hong Kong, China",1982,1.649999976
Ireland,1982,6.070000172
Israel,1982,3.980000019
Italy,1982,7.380000114
Japan,1982,5.550000191
"Korea, Rep.",1982,1.080000043
Luxembourg,1982,8.220000267
Mexico,1982,1.960000038
Netherlands,1982,9.770000458
New Zealand,1982,5.739999771
Norway,1982,11.02999973
Portugal,1982,1.820000052
Singapore,1982,2.019999981
Spain,1982,5.260000229
Sri Lanka,1982,0.239999995
Sweden,1982,9.989999771
Switzerland,1982,10.31000042
Taiwan,1982,1.25
United Kingdom,1982,6.869999886
United States,1982,11.43000031
Australia,1983,9.270000458
Austria,1983,7.789999962
Belgium,1983,8.529999733
Canada,1983,11.40999985
Denmark,1983,8.579999924
Finland,1983,7.710000038
France,1983,7.659999847
Greece,1983,3.769999981
"Hong Kong, China",1983,1.50999999
Ireland,1983,6
Israel,1983,4.380000114
Italy,1983,7.639999866
Japan,1983,5.96999979
"Korea, Rep.",1983,1.139999986
Luxembourg,1983,7.769999981
Mexico,1983,1.409999967
Netherlands,1983,9.479999542
New Zealand,1983,5.300000191
Norway,1983,10.44999981
Portugal,1983,1.570000052
Singapore,1983,2.279999971
Spain,1983,4.539999962
Sri Lanka,1983,0.25
Sweden,1983,8.819999695
Switzerland,1983,10.32999992
Taiwan,1983,1.309999943
United Kingdom,1983,6.449999809
United States,1983,11.84000015
Australia,1984,9.800000191
Austria,1984,7.349999905
Belgium,1984,7.980000019
Canada,1984,11.40999985
Denmark,1984,7.980000019
Finland,1984,7.920000076
France,1984,7.25
Greece,1984,3.730000019
"Hong Kong, China",1984,1.580000043
Ireland,1984,5.900000095
Israel,1984,4.179999828
Italy,1984,7.300000191
Japan,1984,6.170000076
"Korea, Rep.",1984,1.200000048
Luxembourg,1984,7.400000095
Mexico,1984,1.559999943
Netherlands,1984,8.68999958
New Zealand,1984,4.730000019
Norway,1984,10.17000008
Portugal,1984,1.399999976
Singapore,1984,2.529999971
Spain,1984,4.449999809
Sri Lanka,1984,0.25
Sweden,1984,9.100000381
Switzerland,1984,9.520000458
Taiwan,1984,1.460000038
United Kingdom,1984,5.989999771
United States,1984,12.27000046
Australia,1985,8.180000305
