,final_grade,review_date,cocoa_percent,company_location,bean_type,broad_bean_origin
1,3.75,2016,0.63,France,,Sao Tome
2,2.75,2015,0.7,France,,Togo
3,3,2015,0.7,France,,Togo
4,3.5,2015,0.7,France,,Togo
5,3.5,2015,0.7,France,,Peru
6,2.75,2014,0.7,France,Criollo,Venezuela
7,3.5,2014,0.7,France,,Cuba
8,3.5,2014,0.7,France,Criollo,Venezuela
9,3.75,2014,0.7,France,Criollo,Venezuela
10,4,2014,0.7,France,,Peru
11,2.75,2013,0.7,France,,Panama
12,3,2013,0.7,France,Criollo,Madagascar
13,3.75,2013,0.7,France,,Ecuador
14,2.75,2013,0.7,France,,Colombia
15,3,2013,0.7,France,,Burma
16,3.25,2013,0.7,France,,Papua New Guinea
17,4,2013,0.7,France,Trinitario,Venezuela
18,3.25,2013,0.7,France,,Peru
19,3.5,2013,0.7,France,,Peru
20,4,2013,0.63,France,,Peru
21,3.5,2012,0.7,France,,Bolivia
22,3.75,2012,0.63,France,,Peru
23,3.75,2015,0.7,U.S.A.,Criollo,Peru
24,3.25,2011,0.8,Fiji,Trinitario,Fiji
25,3.5,2011,0.88,Fiji,Trinitario,Fiji
26,3.5,2011,0.72,Fiji,Trinitario,Fiji
27,2.75,2009,0.55,Ecuador,Forastero (Arriba),Ecuador
28,3,2009,0.7,Ecuador,Forastero (Arriba),Ecuador
29,3,2009,0.7,Mexico,Criollo,Mexico
30,3.75,2011,0.75,Switzerland,Trinitario,Indonesia
31,2.75,2010,0.75,Switzerland,Forastero,Brazil
32,2.75,2014,0.65,France,Trinitario,Trinidad
33,2.75,2014,0.75,France,Trinitario,Vietnam
34,3,2014,0.75,France,Trinitario,Madagascar
35,3.5,2017,0.7,Netherlands,"Criollo, Trinitario",Nicaragua
36,3.5,2017,0.7,Netherlands,Trinitario,Vietnam
37,3.5,2017,0.7,Netherlands,Forastero,Tanzania
38,2.75,2016,0.6,U.S.A.,,Nicaragua
39,3,2016,0.6,U.S.A.,,Peru
40,2.5,2016,0.6,U.S.A.,,Bolivia
41,2.5,2016,0.6,U.S.A.,,Peru
42,2.75,2016,0.6,U.S.A.,,Ecuador
43,2.5,2013,0.6,U.S.A.,,Venezuela
44,3,2013,0.6,U.S.A.,Trinitario,Dominican Republic
45,3.25,2013,0.8,U.S.A.,,Bolivia
46,3,2013,0.6,U.S.A.,,Bolivia
47,3.25,2013,0.6,U.S.A.,,Peru
48,4,2011,0.7,U.S.A.,,Papua New Guinea
49,3.75,2010,0.7,U.S.A.,,Dominican Republic
50,4,2010,0.7,U.S.A.,,Ecuador
51,3,2010,0.7,U.S.A.,Trinitario,Venezuela
52,3,2009,0.7,U.S.A.,,Venezuela
53,2.75,2008,0.7,U.S.A.,,Indonesia
54,3.5,2007,0.7,U.S.A.,Trinitario,Madagascar
55,3,2007,0.7,U.S.A.,,Venezuela
56,3.75,2007,0.7,U.S.A.,Criollo,Venezuela
57,2.75,2009,0.7,Spain,,Ecuador
58,2.75,2009,0.85,Spain,,Ecuador
59,3.25,2013,0.72,Peru,,Peru
60,3,2015,0.64,Canada,Trinitario,Belize
61,3.25,2015,0.66,Canada,Trinitario,Madagascar
62,3.25,2015,0.63,Canada,,Papua New Guinea
63,3.25,2015,0.7,Canada,,Venezuela
64,3.5,2015,0.68,Canada,,Peru
65,4,2007,0.7,Italy,Criollo (Porcelana),Venezuela
66,4,2007,0.75,Italy,Blend,
67,5,2007,0.7,Italy,Trinitario,Venezuela
68,3,2007,0.7,Italy,Trinitario,Jamaica
69,3.5,2007,0.7,Italy,Trinitario,Grenada
70,3.5,2007,0.7,Italy,Trinitario,Trinidad
71,3.5,2007,0.63,Italy,Blend,
72,5,2006,0.7,Italy,Blend,
73,4,2006,0.66,Italy,Blend,
74,3.25,2013,0.75,Brazil,Forastero (Catongo),Brazil
