,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed_limit,speed,day_of_week,day_of_month,month,hour_of_day,speed_over,percentage_over_limit
1,FALSE,Automobile,2003,BLUE,HISPANIC,F,MD,30,39,Mon,28,Aug,23.21666667,9,30
2,FALSE,Automobile,2017,GREY,HISPANIC,M,MD,35,45,Mon,28,Aug,22.88333333,10,28.57142857
3,FALSE,Automobile,2016,WHITE,WHITE,M,MD,35,50,Tues,29,Aug,1.733333333,15,42.85714286
4,FALSE,Automobile,2006,RED,HISPANIC,M,MD,35,60,Mon,28,Aug,23.06666667,25,71.42857143
5,FALSE,Automobile,2013,GREY,OTHER,F,MD,40,49,Tues,29,Aug,7.916666667,9,22.5
6,FALSE,Automobile,2017,RED,WHITE,M,MD,40,49,Tues,29,Aug,8.116666667,9,22.5
7,FALSE,Automobile,2003,GREY,BLACK,M,MD,40,49,Tues,29,Aug,8.3,9,22.5
8,FALSE,Automobile,2004,GREY,OTHER,M,MD,40,49,Tues,29,Aug,8.733333333,9,22.5
9,FALSE,Automobile,2000,WHITE,ASIAN,M,MD,55,90,Wed,30,Aug,6.616666667,35,63.63636364
10,FALSE,Automobile,2007,BLACK,BLACK,F,MD,35,59,Wed,30,Aug,9.25,24,68.57142857
11,FALSE,Automobile,2016,GREY,BLACK,M,MD,50,70,Wed,30,Aug,12.28333333,20,40
12,FALSE,Automobile,2015,BLACK,WHITE,F,MD,60,69,Wed,30,Aug,17.21666667,9,15
13,FALSE,Automobile,2008,WHITE,WHITE,F,MD,35,44,Wed,30,Aug,14.58333333,9,25.71428571
14,FALSE,Automobile,2006,GREY,BLACK,F,MD,30,39,Tues,29,Aug,20.3,9,30
15,FALSE,Automobile,2014,GREY,WHITE,F,MD,30,38,Wed,30,Aug,7.083333333,8,26.66666667
16,FALSE,Automobile,2015,GREY,WHITE,F,MD,30,38,Wed,30,Aug,7.233333333,8,26.66666667
17,FALSE,Automobile,2004,GREY,WHITE,M,MD,30,38,Wed,30,Aug,8.133333333,8,26.66666667
18,FALSE,Automobile,2011,WHITE,WHITE,F,MD,30,38,Wed,30,Aug,8.566666667,8,26.66666667
19,FALSE,Automobile,2014,BROWN,HISPANIC,F,VA,35,46,Wed,30,Aug,9.3,11,31.42857143
20,FALSE,Automobile,2010,ORANGE,WHITE,F,MD,55,70,Wed,30,Aug,2.933333333,15,27.27272727
21,FALSE,Automobile,2016,GREY,BLACK,M,MD,35,70,Wed,30,Aug,1.816666667,35,100
22,FALSE,Automobile,1999,GREY,BLACK,M,MD,30,39,Wed,30,Aug,10.66666667,9,30
23,FALSE,Automobile,2014,BLACK,BLACK,M,MD,30,39,Wed,30,Aug,11.28333333,9,30
24,FALSE,Automobile,2016,BLACK,HISPANIC,F,MD,35,45,Tues,29,Aug,21.2,10,28.57142857
25,FALSE,Automobile,2005,BLACK,WHITE,M,MD,35,44,Wed,30,Aug,8.516666667,9,25.71428571
26,FALSE,Automobile,2012,BLACK,OTHER,M,MD,35,44,Wed,30,Aug,8.983333333,9,25.71428571
27,FALSE,Automobile,2013,BLUE,HISPANIC,M,MD,40,58,Wed,30,Aug,17.5,18,45
28,FALSE,Automobile,2004,BLACK,BLACK,M,MD,40,56,Wed,30,Aug,17.68333333,16,40
29,FALSE,Automobile,2015,BLACK,WHITE,F,MD,40,67,Wed,30,Aug,17.91666667,27,67.5
30,FALSE,Automobile,2003,RED,HISPANIC,M,MD,40,69,Wed,30,Aug,18.13333333,29,72.5
31,FALSE,Automobile,1999,GREY,BLACK,M,MD,40,59,Wed,30,Aug,18.53333333,19,47.5
32,FALSE,Automobile,2013,RED,WHITE,F,MD,40,60,Wed,30,Aug,19.08333333,20,50
33,FALSE,Automobile,2007,BLACK,BLACK,M,MD,35,44,Wed,30,Aug,11.55,9,25.71428571
34,FALSE,Automobile,2017,BROWN,HISPANIC,F,MD,35,44,Wed,30,Aug,11.73333333,9,25.71428571
35,FALSE,Automobile,2014,BLACK,HISPANIC,M,MD,35,44,Wed,30,Aug,12.06666667,9,25.71428571
36,FALSE,Automobile,2007,GREY,WHITE,F,MD,55,64,Wed,30,Aug,0.433333333,9,16.36363636
37,FALSE,Motorcycle,2008,BLUE,BLACK,M,MD,55,77,Wed,30,Aug,2.166666667,22,40
38,FALSE,Automobile,2014,WHITE,WHITE,F,MD,25,30,Wed,30,Aug,13.35,5,20
39,FALSE,Automobile,2015,BLACK,ASIAN,M,CA,40,57,Wed,30,Aug,10.23333333,17,42.5
40,FALSE,Automobile,2011,GREY,BLACK,M,DC,40,58,Wed,30,Aug,10.45,18,45
41,FALSE,Automobile,2004,GREY,HISPANIC,M,MD,40,60,Wed,30,Aug,14.46666667,20,50
42,FALSE,Automobile,2009,GREY,BLACK,M,MD,40,59,Wed,30,Aug,14.75,19,47.5
43,FALSE,Automobile,2012,BLUE,WHITE,F,MD,40,57,Wed,30,Aug,14.95,17,42.5
44,FALSE,Automobile,2017,GREY,OTHER,M,MD,25,42,Wed,30,Aug,6.95,17,68
45,FALSE,Automobile,2005,GREY,OTHER,M,MD,30,39,Wed,30,Aug,7.75,9,30
46,FALSE,Light Duty Truck,2004,ORANGE,WHITE,M,MD,30,48,Wed,30,Aug,8.016666667,18,60
47,FALSE,Automobile,2001,GREY,WHITE,M,MD,40,70,Wed,30,Aug,14.41666667,30,75
48,FALSE,Light Duty Truck,2016,BLUE,WHITE,F,MD,30,39,Wed,30,Aug,13.16666667,9,30
49,FALSE,Automobile,2000,GREEN,OTHER,F,MD,35,53,Wed,30,Aug,13.36666667,18,51.42857143
50,FALSE,Automobile,2012,BLACK,BLACK,M,GA,35,51,Wed,30,Aug,14.11666667,16,45.71428571
51,FALSE,Automobile,2015,GREY,OTHER,F,MD,35,54,Wed,30,Aug,14.2,19,54.28571429
52,FALSE,Automobile,2016,BLACK,WHITE,M,MD,30,48,Wed,30,Aug,17.06666667,18,60
53,FALSE,Automobile,2014,WHITE,WHITE,F,MD,30,48,Wed,30,Aug,17.13333333,18,60
54,FALSE,Automobile,2016,BLUE,WHITE,M,MD,40,56,Tues,19,Sep,9.416666667,16,40
55,FALSE,Heavy Duty Truck,2017,GREY,BLACK,M,MD,35,50,Thu,31,Aug,12.95,15,42.85714286
56,FALSE,Automobile,1997,WHITE,OTHER,M,MD,40,49,Thu,31,Aug,9.25,9,22.5
57,FALSE,Automobile,2001,GREY,HISPANIC,M,MD,40,49,Thu,31,Aug,7.783333333,9,22.5
58,FALSE,Automobile,2002,GREY,HISPANIC,M,MD,40,49,Thu,31,Aug,8.166666667,9,22.5
59,FALSE,Automobile,2016,RED,HISPANIC,M,MD,40,49,Thu,31,Aug,8.3,9,22.5
60,FALSE,Automobile,2011,ORANGE,WHITE,M,MD,40,49,Thu,31,Aug,8.816666667,9,22.5
61,FALSE,Automobile,2005,GREY,BLACK,M,MD,30,39,Thu,31,Aug,22.68333333,9,30
62,FALSE,Automobile,2012,BROWN,WHITE,F,MD,35,44,Thu,31,Aug,13.58333333,9,25.71428571
63,FALSE,Automobile,2005,GREY,BLACK,M,MD,40,49,Thu,31,Aug,13.15,9,22.5
64,FALSE,Automobile,2011,BLACK,WHITE,M,MD,40,49,Thu,31,Aug,9.383333333,9,22.5
65,FALSE,Automobile,2016,BLACK,HISPANIC,M,MD,40,49,Thu,31,Aug,9.5,9,22.5
66,FALSE,Automobile,2013,RED,BLACK,M,MD,55,64,Thu,31,Aug,1.966666667,9,16.36363636
67,FALSE,Automobile,1976,RED,WHITE,M,MD,40,78,Thu,31,Aug,22,38,95
68,FALSE,Automobile,2016,BLACK,BLACK,M,DC,35,51,Thu,31,Aug,7.933333333,16,45.71428571
69,FALSE,Automobile,2013,BLACK,BLACK,F,MD,35,44,Thu,31,Aug,8.583333333,9,25.71428571
70,FALSE,Station Wagon,2011,GREY,BLACK,F,MD,35,44,Thu,31,Aug,8.8,9,25.71428571
71,FALSE,Station Wagon,2014,GREY,WHITE,M,MD,35,44,Thu,31,Aug,9,9,25.71428571
72,FALSE,Automobile,2004,GREY,HISPANIC,F,MD,35,57,Thu,31,Aug,10.2,22,62.85714286
73,FALSE,Automobile,2015,ORANGE,WHITE,F,MD,30,55,Thu,31,Aug,14.56666667,25,83.33333333
74,FALSE,Light Duty Truck,2006,RED,BLACK,M,MD,40,59,Thu,31,Aug,11.28333333,19,47.5
75,FALSE,Automobile,2005,GREY,BLACK,F,MD,40,60,Fri,1,Sep,20.21666667,20,50
