country,year,working_hours
Australia,1980,34.57884568
Canada,1980,34.84999906
Denmark,1980,31.89807598
Finland,1980,35.56346248
France,1980,35.42307692
Iceland,1980,35.84615385
Italy,1980,35.74634728
Japan,1980,40.78846154
"Korea, Rep.",1980,55.30769231
Norway,1980,30.37884521
Spain,1980,36.77692355
Sweden,1980,29.16923171
Switzerland,1980,34.70384568
United Kingdom,1980,34.08653846
United States,1980,34.80769231
Australia,1981,34.57884568
Canada,1981,34.58076829
Denmark,1981,31.375
Finland,1981,35.66923171
France,1981,34.76923077
Iceland,1981,35.71153846
Italy,1981,35.86730722
Japan,1981,40.5
"Korea, Rep.",1981,55.61538462
Norway,1981,30.19615291
Spain,1981,36.12115479
Sweden,1981,29.00769278
Switzerland,1981,34.33461585
United Kingdom,1981,32.98846201
United States,1981,34.63461538
Australia,1982,34.37692261
Canada,1982,34.1807697
Denmark,1982,31.57115291
Finland,1982,35.39038555
France,1982,33.94230769
Iceland,1982,35.76923077
Italy,1982,36.08692345
Japan,1982,40.46153846
"Korea, Rep.",1982,55.86538462
Norway,1982,29.97884662
Spain,1982,35.71730863
Sweden,1982,29.27884615
Switzerland,1982,34.12307739
United Kingdom,1982,33.27500094
United States,1982,34.55769231
Australia,1983,34.11730722
Belgium,1983,34
Canada,1983,34
Denmark,1983,31.49615479
Finland,1983,35.05192214
France,1983,33.80769231
Greece,1983,41.38461538
Hungary,1983,40.61538462
Iceland,1983,35.76923077
Ireland,1983,38.09615385
Italy,1983,36.07288537
Japan,1983,40.28846154
"Korea, Rep.",1983,56.21153846
Luxembourg,1983,34.21153846
Norway,1983,29.86922983
Spain,1983,35.10384662
Sweden,1983,29.45769325
Switzerland,1983,33.84230863
United Kingdom,1983,33.01153799
United States,1983,34.92307692
Australia,1984,34.41538415
Belgium,1984,34.48076923
Canada,1984,34.10769184
Denmark,1984,31.39807598
Finland,1984,34.87884521
France,1984,33.57692308
Greece,1984,40.11538462
Hungary,1984,39.21153846
Iceland,1984,35.73076923
Ireland,1984,37.76923077
Italy,1984,35.87326989
Japan,1984,40.53846154
"Korea, Rep.",1984,56.13461538
Luxembourg,1984,33.92307692
Norway,1984,29.77307598
Spain,1984,34.24230722
Sweden,1984,29.5
Switzerland,1984,33.47884662
United Kingdom,1984,33.3192303
United States,1984,35.26923077
Australia,1985,34.33846107
Belgium,1985,34.59615385
Canada,1985,34.26538555
Denmark,1985,31.12692261
Finland,1985,34.87307739
France,1985,33.28846154
Greece,1985,40.65384615
Hungary,1985,38.69230769
Iceland,1985,35.71153846
Ireland,1985,37.90384615
Italy,1985,35.8059622
Japan,1985,40.25
"Korea, Rep.",1985,55.65384615
Luxembourg,1985,34
Norway,1985,29.65769137
Spain,1985,34.05192214
Sweden,1985,29.57884568
Switzerland,1985,33.35961445
United Kingdom,1985,33.95384568
United States,1985,35.23076923
Australia,1986,34.48269184
Belgium,1986,34.21153846
Canada,1986,34.23269184
Denmark,1986,31.19038508
Finland,1986,34.47499906
France,1986,33.07692308
Greece,1986,40.23076923
Hungary,1986,38.51923077
Iceland,1986,35.55769231
Ireland,1986,38.53846154
Italy,1986,35.96846126
Japan,1986,40.32692308
"Korea, Rep.",1986,56.21153846
Luxembourg,1986,33.82692308
New Zealand,1986,35.26730816
Norway,1986,29.58076829
Portugal,1986,37.36538462
Spain,1986,33.91346154
Sweden,1986,29.54038415
Switzerland,1986,33.19615291
United Kingdom,1986,34.00577017
United States,1986,35.09615385
Australia,1987,34.65576876
Belgium,1987,33.90384615
Canada,1987,34.43461492
Denmark,1987,30.52500094
Finland,1987,34.58269325
France,1987,33
Greece,1987,39.51923077
Hungary,1987,39.36538462
Iceland,1987,35.51923077
Ireland,1987,38.15384615
Italy,1987,36.33673096
Japan,1987,40.30769231
"Korea, Rep.",1987,55.61538462
Luxembourg,1987,33.78846154
Netherlands,1987,29.61538462
New Zealand,1987,35.35576923
Norway,1987,29.04999953
Portugal,1987,37.67307692
Spain,1987,33.74615479
Sweden,1987,29.73461445
Switzerland,1987,33.17307692
United Kingdom,1987,33.79999953
United States,1987,35.19230769
Australia,1988,34.8192303
Belgium,1988,33.65384615
Canada,1988,34.47115385
Denmark,1988,30.17884709
Finland,1988,34.7365394
France,1988,33.03846154
Greece,1988,39.38461538
Hungary,1988,39.25
Iceland,1988,35.67307692
Ireland,1988,38.30769231
Italy,1988,36.40730873
Japan,1988,40.23076923
"Korea, Rep.",1988,54.73076923
Luxembourg,1988,34.21153846
Netherlands,1988,29.01923077
New Zealand,1988,35.20384568
Norway,1988,29.10192402
Portugal,1988,37.63461538
Spain,1988,33.67884709
Sweden,1988,30.1115394
Switzerland,1988,33.16269156
United Kingdom,1988,34.57307786
United States,1988,35.25
Australia,1989,34.70961585
Belgium,1989,33.48076923
Canada,1989,34.35576923
Denmark,1989,29.84615385
Finland,1989,34.66153893
France,1989,32.67307692
Greece,1989,39.90384615
Hungary,1989,38.76923077
Iceland,1989,35.57692308
Ireland,1989,38.44230769
Italy,1989,36.10173152
Japan,1989,39.80769231
"Korea, Rep.",1989,52.73076923
Luxembourg,1989,33.98076923
Netherlands,1989,28.78846154
New Zealand,1989,35.0134606
Norway,1989,29.04807692
Portugal,1989,38
Spain,1989,33.45000047
Sweden,1989,30.08846107
Switzerland,1989,32.87307739
United Kingdom,1989,34.34230863
United States,1989,35.48076923
Argentina,1990,38.71153846
Australia,1990,34.52500094
Belgium,1990,33.73076923
Brazil,1990,34.53846154
Canada,1990,34.16153893
Chile,1990,38.15384615
Costa Rica,1990,35.78846154
Denmark,1990,29.59038368
Ecuador,1990,34.05769231
El Salvador,1990,37.28846154
Finland,1990,34.02500094
France,1990,32.73076923
Greece,1990,39.90384615
Honduras,1990,35.71153846
Hungary,1990,37.98076923
Iceland,1990,35.36538462
Ireland,1990,38.23076923
Italy,1990,35.89557589
Japan,1990,39.05769231
"Korea, Rep.",1990,51.69230769
Luxembourg,1990,33.96153846
Mexico,1990,33.98076923
Netherlands,1990,28.92307692
New Zealand,1990,34.80769231
Norway,1990,28.89615338
Panama,1990,32.88461538
Paraguay,1990,39.01923077
Portugal,1990,37.73076923
Spain,1990,33.48076923
Sweden,1990,30.01730816
Switzerland,1990,32.69134521
United Kingdom,1990,34.05192214
United States,1990,35.13461538
Uruguay,1990,34.38461538
Australia,1991,34.13653799
Belgium,1991,32.98076923
Canada,1991,33.7634606
Colombia,1991,38
Denmark,1991,29.49422983
Finland,1991,33.59038368
France,1991,32.57692308
Germany,1991,29.77115338
Greece,1991,39.92307692
Hungary,1991,37.36538462
Iceland,1991,35.44230769
Ireland,1991,37.57692308
Italy,1991,35.76173049
Japan,1991,38.42307692
"Korea, Rep.",1991,51.38461538
Luxembourg,1991,33.59615385
Mexico,1991,35.03653893
Netherlands,1991,28.28846154
New Zealand,1991,34.47692402
Norway,1991,28.85192402
Peru,1991,37.76923077
Portugal,1991,36.30769231
Spain,1991,33.64807598
Sweden,1991,29.7634606
Switzerland,1991,32.64692336
United Kingdom,1991,33.99019212
United States,1991,34.90384615
Australia,1992,34.33653846
Belgium,1992,32.55769231
Canada,1992,33.74615479
Denmark,1992,29.89038555
Finland,1992,33.70961585
France,1992,32.59615385
Germany,1992,30.11922983
Greece,1992,40.48076923
"Hong Kong, China",1992,43.98076923
Hungary,1992,36.51923077
Iceland,1992,35.75
Ireland,1992,36.69230769
Italy,1992,35.82230788
Japan,1992,37.78846154
"Korea, Rep.",1992,50.96153846
Luxembourg,1992,33.15384615
Netherlands,1992,27.82692308
New Zealand,1992,34.62115479
Norway,1992,29.04038415
Portugal,1992,35.63461538
Spain,1992,33.49230722
Sweden,1992,30.10192402
Switzerland,1992,32.83596098
United Kingdom,1992,33.31538508
United States,1992,34.92307692
Australia,1993,34.60384662
Belgium,1993,31.65384615
Canada,1993,33.74038462
Czech Rep.,1993,39.68653752
Denmark,1993,29.90769137
Finland,1993,33.75577017
France,1993,32.34615385
Germany,1993,29.8057697
Greece,1993,40.86538462
Hungary,1993,36.51923077
Iceland,1993,35.15384615
Ireland,1993,36.21153846
Italy,1993,35.81961529
Japan,1993,36.63461538
"Korea, Rep.",1993,51.28846154
Luxembourg,1993,33.30769231
Mexico,1993,35.02500094
Netherlands,1993,27.28846154
New Zealand,1993,35.65576876
Nicaragua,1993,34.38461538
Norway,1993,28.97884662
Portugal,1993,35.57692308
Spain,1993,33.34038368
Sweden,1993,30.71000085
Switzerland,1993,32.77115338
United Kingdom,1993,33.1942303
United States,1993,35.09615385
Australia,1994,34.74422983
Bangladesh,1994,44.25
Belgium,1994,31.65384615
Canada,1994,33.88269278
Czech Rep.,1994,39.29230675
Denmark,1994,29.76730816
Fiji,1994,37.53846154
Finland,1994,34.13077017
France,1994,32.21153846
Germany,1994,29.75384521
Greece,1994,40.23076923
Hungary,1994,39.07692308
Iceland,1994,34.86538462
Ireland,1994,36.21153846
Italy,1994,35.70307805
Japan,1994,36.5
"Korea, Rep.",1994,50.98076923
Luxembourg,1994,32.86538462
Malaysia,1994,43.15384615
Nepal,1994,37.59615385
Netherlands,1994,27.13461538
New Zealand,1994,35.54807692
Norway,1994,28.94038508
Pakistan,1994,33.13461538
Portugal,1994,35.34615385
Slovak Republic,1994,35.64615338
Spain,1994,33.33076829
Sri Lanka,1994,44
Sweden,1994,30.92249944
Switzerland,1994,33.17211445
Thailand,1994,42.84615385
United Kingdom,1994,33.46346107
United States,1994,35.25
Australia,1995,34.66346154
Austria,1995,31.66153893
Belgium,1995,32.19230769
Canada,1995,33.85961445
Colombia,1995,37.69230769
Czech Rep.,1995,39.69807786
Denmark,1995,29.625
Ecuador,1995,37.36538462
Finland,1995,34.15384615
France,1995,31.75
Germany,1995,29.49230722
Greece,1995,40.03846154
Hungary,1995,39.20384568
Iceland,1995,35.23076923
Ireland,1995,36.05769231
Italy,1995,35.74730741
Japan,1995,36.23076923
"Korea, Rep.",1995,51.11538462
Luxembourg,1995,33.05769231
Mexico,1995,35.71923124
Netherlands,1995,26.75
New Zealand,1995,35.41538415
Norway,1995,28.6115394
Portugal,1995,36.48076923
Slovak Republic,1995,36.14230816
Spain,1995,33.32500047
Sweden,1995,30.94538527
Switzerland,1995,32.73846201
United Kingdom,1995,33.51153799
United States,1995,35.38461538
Australia,1996,34.59615385
Austria,1996,31.99807739
Belgium,1996,31.65384615
Canada,1996,34.11730722
Czech Rep.,1996,39.72692402
Denmark,1996,29.43653752
Finland,1996,34.12692261
France,1996,31.82692308
Germany,1996,29.18846248
Greece,1996,39.57692308
Hungary,1996,39.12461501
Iceland,1996,35.76923077
Ireland,1996,36.19230769
Italy,1996,36.02019325
Japan,1996,36.38461538
"Korea, Rep.",1996,50.92307692
Luxembourg,1996,32.51923077
Mexico,1996,36.57500047
Netherlands,1996,27.32692308
New Zealand,1996,35.25384521
Norway,1996,28.51153799
Portugal,1996,35.53846154
Slovak Republic,1996,35.375
Spain,1996,33.24038462
Sweden,1996,31.02865366
Switzerland,1996,32.20000047
United Kingdom,1996,33.49230722
United States,1996,35.23076923
Argentina,1997,38.78846154
Australia,1997,34.52307598
Austria,1997,32.07307786
Belgium,1997,31.92307692
Brazil,1997,33.82692308
Canada,1997,33.9865394
Chile,1997,36.65384615
Costa Rica,1997,35.88461538
Czech Rep.,1997,39.74615479
Denmark,1997,29.69230769
El Salvador,1997,35.40384615
Finland,1997,34.04807692
France,1997,31.71153846
Germany,1997,29.0134606
Greece,1997,38.96153846
Honduras,1997,34.69230769
Hungary,1997,39.60576923
Iceland,1997,35.36538462
Ireland,1997,35.23076923
Italy,1997,35.83000066
Japan,1997,35.86538462
"Korea, Rep.",1997,49.84615385
Luxembourg,1997,32.26923077
Mexico,1997,37.04999953
Netherlands,1997,27.19230769
New Zealand,1997,35.00961538
Nicaragua,1997,37.05769231
Norway,1997,28.41346154
Panama,1997,33.67307692
Paraguay,1997,36.34615385
Peru,1997,38.55769231
Portugal,1997,34.84615385
Slovak Republic,1997,35.26538555
Spain,1997,33.23846201
Sweden,1997,32.21365356
Switzerland,1997,31.95384568
United Kingdom,1997,33.47096135
United States,1997,35.42307692
Uruguay,1997,33.51923077
Venezuela,1997,33.51923077
Australia,1998,34.39423077
Austria,1998,31.99038462
Belgium,1998,32.15384615
Canada,1998,33.97499906
Czech Rep.,1998,39.89615572
Denmark,1998,29.98461445
Ecuador,1998,36.98076923
El Salvador,1998,35.55769231
Finland,1998,33.8615394
France,1998,31.48076923
Germany,1998,28.90961632
Greece,1998,38.90384615
Hungary,1998,39.46730863
Iceland,1998,34.94230769
Ireland,1998,33.71153846
Italy,1998,36.14769334
Japan,1998,35.42307692
"Korea, Rep.",1998,48
Luxembourg,1998,32.15384615
Mexico,1998,36.11538462
Netherlands,1998,26.92307692
New Zealand,1998,35.08461585
Norway,1998,28.37692261
Peru,1998,40.21153846
Portugal,1998,34.59615385
Slovak Republic,1998,34.57307786
Spain,1998,33.29999953
Sweden,1998,31.65403865
Switzerland,1998,32.09230863
United Kingdom,1998,33.35384662
United States,1998,35.44230769
Argentina,1999,35
Australia,1999,34.36346201
Austria,1999,31.49230722
Belgium,1999,30.40384615
Brazil,1999,32.48076923
Canada,1999,34.02115338
Chile,1999,36.57692308
Colombia,1999,36.75
Costa Rica,1999,35.96153846
Czech Rep.,1999,40.14615572
Denmark,1999,30.17307692
Finland,1999,33.93653752
France,1999,31.34615385
Germany,1999,28.68653752
Greece,1999,39.75
Honduras,1999,34.92307692
Hungary,1999,39.75192495
Iceland,1999,36.01923077
Ireland,1999,33.17307692
Italy,1999,36.06884531
Japan,1999,34.81538508
"Korea, Rep.",1999,48.11538462
Luxembourg,1999,32.09615385
Mexico,1999,36.95961585
Netherlands,1999,26.55769231
New Zealand,1999,35.34230863
Nicaragua,1999,37.36538462
Norway,1999,28.33461585
Panama,1999,33.34615385
Portugal,1999,34.84615385
Slovak Republic,1999,34.77692355
Spain,1999,33.30961492
Sweden,1999,31.01826829
Switzerland,1999,32.5065378
United Kingdom,1999,33.13077017
United States,1999,35.46153846
Uruguay,1999,33.11538462
Venezuela,1999,32.17307692
Australia,2000,34.33269325
Austria,2000,31.37884521
Belgium,2000,29.88461538
Canada,2000,33.99615479
Czech Rep.,2000,40.2365394
Denmark,2000,30.41153893
Finland,2000,33.64807598
France,2000,30.59615385
Germany,2000,28.32692308
Greece,2000,40
Hungary,2000,39.6384606
Iceland,2000,36.25
Ireland,2000,33.05769231
Italy,2000,35.79499934
Japan,2000,35.02500094
"Korea, Rep.",2000,48.46153846
Luxembourg,2000,31.96153846
Mexico,2000,36.30961492
Netherlands,2000,26.38461538
New Zealand,2000,35.1942303
Norway,2000,27.98461445
Poland,2000,38.23076923
Portugal,2000,33.94230769
Slovak Republic,2000,34.82884568
Spain,2000,33.28076876
Sweden,2000,30.27730854
Switzerland,2000,32.39615338
United Kingdom,2000,32.91153893
United States,2000,35.23076923
Australia,2001,33.74230722
Austria,2001,31.35192402
Belgium,2001,30.32692308
Canada,2001,33.88461538
Czech Rep.,2001,38.45307805
Denmark,2001,30.5134606
Finland,2001,33.34423124
France,2001,30.34615385
Germany,2001,28.04615432
Greece,2001,40.11538462
Hungary,2001,38.82500047
Iceland,2001,35.51923077
Ireland,2001,32.86538462
Italy,2001,35.44365281
Japan,2001,34.78846154
"Korea, Rep.",2001,48.19230769
Luxembourg,2001,31.65384615
Mexico,2001,35.85192402
Netherlands,2001,26.38461538
New Zealand,2001,34.94807786
Norway,2001,27.48269184
Poland,2001,37.96153846
Portugal,2001,34.01923077
Slovak Republic,2001,34.59615385
Spain,2001,33.20384568
Sweden,2001,29.35711435
Switzerland,2001,31.65769137
United Kingdom,2001,32.96730863
United States,2001,34.82692308
Australia,2002,33.46730863
Austria,2002,31.38461538
Belgium,2002,30.36538462
Canada,2002,33.54615432
Czech Rep.,2002,38.07884568
Denmark,2002,30.3615394
Finland,2002,33.22884662
France,2002,29.53846154
Germany,2002,27.79615432
Greece,2002,40.13461538
Hungary,2002,38.97019137
Iceland,2002,34.84615385
Ireland,2002,32.59615385
Italy,2002,35.21096098
Japan,2002,34.57692308
"Korea, Rep.",2002,47.40384615
Luxembourg,2002,31.42307692
Mexico,2002,36.30961492
Netherlands,2002,25.92307692
New Zealand,2002,34.94038508
Norway,2002,27.1942303
Poland,2002,38.05769231
Portugal,2002,33.98076923
Slovak Republic,2002,33.58461585
Spain,2002,33.09423124
Sweden,2002,29.50730779
Switzerland,2002,31.33269325
United Kingdom,2002,32.60961445
United States,2002,34.75
Australia,2003,33.41153893
Austria,2003,31.56730769
Belgium,2003,30.28846154
Canada,2003,33.34807645
Czech Rep.,2003,37.91730675
Denmark,2003,30.31730769
Finland,2003,33.07500047
France,2003,29.44230769
Germany,2003,27.67115432
Greece,2003,40.13461538
Hungary,2003,38.41153893
Iceland,2003,34.75
Ireland,2003,32.13461538
Italy,2003,35.10749934
Japan,2003,34.58846107
"Korea, Rep.",2003,46.80769231
Luxembourg,2003,31.34615385
Mexico,2003,35.71538368
Netherlands,2003,26.21153846
New Zealand,2003,34.85769184
Norway,2003,26.89615338
Poland,2003,38.15384615
Portugal,2003,33.5
Slovak Republic,2003,32.17307692
Spain,2003,32.80384709
Sweden,2003,29.98173171
Switzerland,2003,31.52500094
United Kingdom,2003,32.24615479
United States,2003,34.55769231
Australia,2004,33.59615385
Austria,2004,31.7365394
Belgium,2004,29.78846154
Canada,2004,33.70192308
Czech Rep.,2004,38.19038508
Denmark,2004,30.37307739
Finland,2004,33.14807598
France,2004,29.96153846
Germany,2004,27.72307645
Greece,2004,39.61538462
Hungary,2004,38.39403827
Iceland,2004,34.80769231
Ireland,2004,32.07692308
Italy,2004,35.11634709
Japan,2004,34.36538462
"Korea, Rep.",2004,46.03846154
Luxembourg,2004,30.5
Mexico,2004,35.54999953
Netherlands,2004,26.19230769
New Zealand,2004,35.12692261
Norway,2004,27.25577017
Poland,2004,38.13461538
Portugal,2004,33.90384615
Slovak Republic,2004,32.83653846
Spain,2004,32.50577017
Sweden,2004,30.28096126
Switzerland,2004,32.09999906
Turkey,2004,36.88461538
United Kingdom,2004,32.15192355
United States,2004,34.59615385
Australia,2005,33.29807692
Austria,2005,31.84423124
Belgium,2005,30.09615385
Canada,2005,33.4307697
Czech Rep.,2005,38.50192261
Denmark,2005,30.07115291
Finland,2005,33.03269137
France,2005,29.80769231
Germany,2005,27.59423124
Greece,2005,39.48076923
Hungary,2005,38.34615385
Iceland,2005,34.5
Ireland,2005,31.80769231
Italy,2005,34.97576904
Japan,2005,34.13461538
"Korea, Rep.",2005,45.26538555
Luxembourg,2005,30.19230769
Mexico,2005,36.71346107
Netherlands,2005,26.44230769
New Zealand,2005,34.80961492
Norway,2005,27.30769231
Poland,2005,38.34615385
Portugal,2005,33.69230769
Slovak Republic,2005,33.48846201
Spain,2005,32.15192355
Sweden,2005,30.90250103
Switzerland,2005,32.10384662
Turkey,2005,36.88461538
United Kingdom,2005,32.22692402
United States,2005,34.51923077
Australia,2006,33.14038555
Austria,2006,31.81730769
Belgium,2006,30.21153846
Canada,2006,33.42307692
Czech Rep.,2006,38.40000094
Denmark,2006,30.26538555
Finland,2006,32.95192308
France,2006,30.15576876
Germany,2006,27.55192214
Hungary,2006,38.25384521
Iceland,2006,34.51923077
Ireland,2006,31.53846154
Italy,2006,34.88653799
Japan,2006,34.30769231
"Korea, Rep.",2006,44.32692308
Luxembourg,2006,30.84615385
Mexico,2006,36.21538368
Netherlands,2006,26.75
New Zealand,2006,34.36346201
Norway,2006,27.08076829
Poland,2006,38.17307692
Portugal,2006,33.80769231
Slovak Republic,2006,33.63461538
Spain,2006,31.82115291
Sweden,2006,30.3036546
Switzerland,2006,31.87115479
